Date,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2
2022-09-12,,,0.02,0
2022-09-13,,335.0,0.02,1
2022-09-14,330.600006,,0.02,1
2022-09-15,330.600006,,0.02,0
2022-09-16,,339.0,0.02,1
2022-09-19,,338.81400024,0.04,0
2022-09-20,329.100006,,0.02,1
2022-09-21,329.100006,,0.04,0
2022-09-22,329.74400624000003,,0.06,0
2022-09-23,330.88436586560005,,0.08,0
2022-09-26,,349.549988,0.02,1
2022-09-27,,349.549988,0.02,0
2022-09-28,,349.19398824,0.04,0
2022-09-29,,348.1982282304,0.04,0
2022-09-30,,347.242298621184,0.04,0
2022-10-03,,346.3246061963366,0.06,0
2022-10-04,,344.94012982455644,0.06,0
2022-10-06,,343.63872203508305,0.06,0
2022-10-07,,342.41539871297806,0.06,0
2022-10-10,,341.2654747901994,0.06,0
2022-10-11,,340.18454630278745,0.06,0
2022-10-12,,339.1684735246202,0.06,0
2022-10-13,,338.21336511314297,0.06,0
2022-10-14,,337.3155632063544,0.06,0
2022-10-17,,336.4716294139731,0.06,0
2022-10-18,323.25,,0.02,1
2022-10-19,323.605,,0.04,0
2022-10-20,324.55880048,,0.06,0
2022-10-21,326.14227317120003,,0.08,0
2022-10-24,328.306892277504,,0.08,0
2022-10-25,330.2983418553037,,0.08,0
2022-10-27,332.13047546687943,,0.08,0
2022-10-28,333.81603838952907,,0.08,0
2022-10-31,335.3667562783667,,0.08,0
2022-11-01,336.7934167360974,,0.08,0
2022-11-02,338.10594435720964,,0.1,0
2022-11-03,339.92034992148865,,0.12000000000000001,0
2022-11-04,342.14990793091,,0.12000000000000001,0
2022-11-07,344.11191897920077,,0.12000000000000001,0
2022-11-09,345.8384887016967,,0.14,0
2022-11-10,348.02410196345915,,0.14,0
2022-11-11,349.9037293685749,,0.14,0
2022-11-14,,361.450012,0.02,1
2022-11-15,,361.15301188,0.04,0
2022-11-16,,360.2728911648,0.04,0
2022-11-17,,359.427975278208,0.04,0
2022-11-18,,358.6168560270797,0.04,0
2022-11-21,,357.83818154599646,0.06,0
2022-11-22,,356.4318902932367,0.06,0
2022-11-23,,355.1099765156425,0.06,0
2022-11-24,,353.86737756470393,0.06,0
2022-11-25,,352.6993345508217,0.06,0
2022-11-28,,351.60137411777237,0.06,0
2022-11-29,,350.56929131070603,0.06,0
2022-11-30,,349.59913347206367,0.06,0
2022-12-01,,348.68718510373986,0.06,0
2022-12-02,,347.8299536375155,0.06,0
2022-12-05,,347.02415605926456,0.08,0
2022-12-06,,345.99422309452336,0.1,0
2022-12-07,,344.804801385071,0.1,0
2022-12-08,,343.73432184656394,0.1,0
2022-12-09,,342.77089026190754,0.1,0
2022-12-12,334.100006,,0.02,1
2022-12-13,334.29800588,,0.04,0
2022-12-14,334.7660856448,,0.06,0
2022-12-15,335.521120866112,,0.06,0
2022-12-16,,347.350006,0.02,1
